Product Name,Price,Speed
ESSENCORE KLEVV DDR4-3200 CL22 파인인포,"77,170",3200MHz (PC4-25600)
삼성전자 DDR4-3200,"92,300",3200MHz (PC4-25600)
마이크론 Crucial DDR4-3200 CL22 대원씨티에스,"42,660",3200MHz (PC4-25600)
ESSENCORE KLEVV DDR4-3600 CL18 BOLT XR 패키지 서린,"98,990",3600MHz (PC4-28800)
삼성전자 DDR4-2666,"43,850",2666MHz (PC4-21300)
G.SKILL DDR4-3600 CL18 TRIDENT Z RGB 패키지,"222,430",3600MHz (PC4-28800)
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 화이트 패키지 서린,"240,000",3600MHz (PC4-28800)
마이크론 Crucial DDR4-3200 CL22,"82,510",3200MHz (PC4-25600)
G.SKILL DDR4-4000 CL18 TRIDENT Z ROYAL 실버 패키지,"169,000",4000MHz (PC4-32000)
PATRIOT DDR4-2666 CL19 SIGNATURE,"82,500",2666MHz (PC4-21300)
ADATA DDR4-3200 CL16 SPECTRIX D35G RGB 화이트 패키지,"112,180",3200MHz (PC4-25600)
G.SKILL DDR4-3200 CL16 TRIDENT Z RGB 패키지,"230,000",3200MHz (PC4-25600)
ESSENCORE KLEVV DDR4-3200 CL16 BOLT X 서린,"44,890",3200MHz (PC4-25600)
ADATA DDR4-3600 CL18 SPECTRIX D35G RGB 화이트 패키지,"120,120",3600MHz (PC4-28800)
G.SKILL DDR4-3200 CL14 RIPJAWS V VK 패키지,"169,000",3200MHz (PC4-25600)
TeamGroup T-Force DDR4-3200 CL16 Delta RGB 화이트 패키지 서린,"234,990",3200MHz (PC4-25600)
G.SKILL DDR4-3600 CL16 TRIDENT Z NEO C 패키지,"141,390",3600MHz (PC4-28800)
G.SKILL DDR4-4000 CL18 TRIDENT Z RGB 패키지,"139,000",4000MHz (PC4-32000)
ESSENCORE KLEVV DDR4-3600 CL18 BOLT X 서린,"50,490",3600MHz (PC4-28800)
G.SKILL DDR4-3200 CL16 TRIDENT Z NEO 패키지,"459,000",3200MHz (PC4-25600)
삼성전자 DDR4-2666 중고,"94,900",2666MHz (PC4-21300)
G.SKILL DDR4-3200 CL16 AEGIS,"39,000",3200MHz (PC4-25600)
TeamGroup T-Force DDR4-3600 CL18 Delta RGB 패키지 서린,"366,000",3600MHz (PC4-28800)
GeIL DDR4-3200 CL22 PRISTINE,"36,920",3200MHz (PC4-25600)
ESSENCORE KLEVV DDR4-3600 CL18 CRAS XR RGB 패키지 서린,"114,990",3600MHz (PC4-28800)
