Product Name,Socket_type,Price,Memory_Type,Memory_Speed,Size
ASRock B650M PG Lightning 에즈윈,AM5,"159,040",DDR5,7200MHz,M-ATX
MSI MAG B650M 박격포 WIFI,AM5,"249,000",DDR5,7600MHz,M-ATX
ASUS PRIME A520M-A II 대원씨티에스,AM4,"81,800",DDR4,4866MHz,M-ATX
ASUS TUF Gaming B550M-PLUS STCOM,AM4,"157,520",DDR4,4800MHz,M-ATX
ASRock B650M PG Lightning 대원씨티에스,AM5,"149,580",DDR5,7200MHz,M-ATX
MSI MAG B650 토마호크 WIFI,AM5,"290,860",DDR5,7600MHz,ATX
GIGABYTE B650M K 제이씨현,AM5,"168,040",DDR5,8000MHz,M-ATX
GIGABYTE B650M K 피씨디렉트,AM5,"159,480",DDR5,8000MHz,M-ATX
ASUS PRIME A520M-K 대원씨티에스,AM4,"68,690",DDR4,4600MHz,M-ATX
GIGABYTE X670E AORUS PRO X 피씨디렉트,AM5,"408,250",DDR5,8000MHz,ATX
MSI PRO B650M-A WIFI,AM5,"171,500",DDR5,7200MHz,M-ATX
ASUS ROG STRIX B650E-E GAMING WIFI STCOM,AM5,"410,300",DDR5,6400MHz,ATX
ASRock B450M-HDV R4.0 대원씨티에스,AM4,"66,500",DDR4,3200MHz,M-ATX
MSI A520M-A PRO,AM4,"70,860",DDR4,4600MHz,M-ATX
ASRock B650M Pro RS 대원씨티에스,AM5,"179,820",DDR5,7200MHz,M-ATX
ASRock X570 Phantom Gaming 4 대원씨티에스,AM4,"137,740",DDR4,4066MHz,ATX
ASRock B550M Phantom Gaming 4 에즈윈,AM4,"112,000",DDR4,4733MHz,M-ATX
GIGABYTE B650M AORUS ELITE AX ICE 제이씨현,AM5,"267,990",DDR5,8000MHz,M-ATX
ASUS PRIME B650M-A II 대원씨티에스,AM5,"149,990",DDR5,6400MHz,M-ATX
ASUS PRIME B550M-A 대원씨티에스,AM4,"113,980",DDR4,4800MHz,M-ATX
GIGABYTE B650E AORUS ELITE X AX ICE 제이씨현,AM5,"358,650",DDR5,8000MHz,ATX
MSI B650M 프로젝트 제로,AM5,"279,000",DDR5,7600MHz,M-ATX
ASUS ROG STRIX B650E-I GAMING WIFI STCOM,AM5,"407,440",DDR5,6400MHz,M-iTX
ASRock B550M Pro RS 대원씨티에스,AM4,"117,730",DDR4,4733MHz,M-ATX
ASUS TUF Gaming B650M-PLUS STCOM,AM5,"247,340",DDR5,7600MHz,M-ATX
ASRock A620M-HDV/M.2+ 대원씨티에스,AM5,"118,170",DDR5,7200MHz,M-ATX
MSI PRO A620M-E,AM5,"109,000",DDR5,6800MHz,M-ATX
MSI MAG X670E 토마호크 WIFI,AM5,"399,000",DDR5,7800MHz,ATX
ASUS ROG STRIX B650-A GAMING WIFI 대원씨티에스,AM5,"305,990",DDR5,6400MHz,ATX
ASRock B650M-HDV/M.2 대원씨티에스,AM5,"161,870",DDR5,7200MHz,M-ATX
