name,price,brand,category
Intel Core i7-12700KF, 284953, INTEL, CPU
AMD Ryzen 7 5800X, 246712, AMD, CPU
AMD Ryzen 5 5500, 115363, AMD, CPU
AMD Ryzen 9 5900X, 346131, AMD, CPU
AMD Ryzen 7 5700X, 223734, AMD, CPU
AMD Ryzen 5 5600X, 187439, AMD, CPU
AMD Ryzen 9 7900X, 508117, AMD, CPU
AMD Ryzen 5 4500, 101267, AMD, CPU
AMD Ryzen 5 7600X, 275209, AMD, CPU
AMD Ryzen 5 7600, 263935, AMD, CPU
Intel Core i7-13700, 429077, INTEL, CPU
Intel Core i9-13900KF, 628193, INTEL, CPU
AMD Ryzen 9 7900X3D, 548513, AMD, CPU
AMD Ryzen 7 5700X3D, 255747, AMD, CPU
AMD Ryzen 5 5600, 162612, AMD, CPU
AMD Ryzen 9 5950X, 493466, AMD, CPU
KAMRUI AK1 Plus, 188995, KAMRUI, CPU
KAMRUI AK1 PRO, 250201, KAMRUI, CPU
Dell Precision Tower 3420 SFF, 151403, DELL, CPU
PELADN N95 WI-6, 218162, PELADN, CPU
Intel Core i5 Core 12400F, 160686, INTEL, CPU
AMD Ryzen 9 7950X3D, 693440, AMD, CPU
AMD Ryzen 5 4600G, 126736, AMD, CPU
AMD Ryzen 7 7800X3D, 472470, AMD, CPU
Intel Core i9-12900KF, 409935, INTEL, CPU
Intel Core i7-14700K, 477584, INTEL, CPU
Intel Core i7-12700KF, 284866, INTEL, CPU
Intel Core i9-12900K, 414049, INTEL, CPU
PNY GeForce RTX 3070, 694816, PNY, GPU
MSI Gaming GeForce RTX 3060, 395358, MSI, GPU
ASUS Dual GeForce RTX 4060, 426472, ASUS, GPU
ASUS Dual NVIDIA GeForce RTX 3050, 148679, ASUS, GPU
GIGABYTE GeForce RTX 4060, 370872, GIGABYTE, GPU
GIGABYTE Radeon RX 7600, 369413, GIGABYTE, GPU
PowerColor Hellhound Sakura AMD Radeon 7800, 679529, POWERCOLOR, GPU
GIGABYTE GeForce RTX 3060, 409949, GIGABYTE, GPU
ASUS Dual GeForce RTX 4070, 833782, ASUS, GPU
GIGABYTE GV-R76GAMING OC-8GD Radeon RX 7600, 304043, GIGABYTE, GPU
XFX Speedster SWFT 210 Radeon RX 6600, 291814, XFX, GPU
KAER AMD Radeon RX 580, 131989, KAER, GPU
ASUS ROG Strix GeForce RTX 4070, 1000610, ASUS, GPU
ASUS Dual Radeon RX 7600, 472470, ASUS, GPU
XFX Radeon RX 580, 180641, XFX, GPU
PowerColor Fighter AMD Radeon RX 6600, 277918, POWERCOLOR, GPU
AMD Radeon RX590, 219566, GENERIC, GPU
MSI Gaming GeForce RTX 4060, 407170, MSI, GPU
MSI Gaming RTX 3050, 230113, MSI, GPU
GALAX GeForce RTX 4060, 416856, GALAX, GPU
Crucial Pro DDR5 RAM 32GB, 152848, CRUCIAL, RAM
A-Tech 16GB (2x8GB) DDR3/DDR3L, 44997, A-TECH, RAM
Corsair VENGEANCE LPX DDR4 RAM 32GB (2x16GB), 99485, CORSAIR, RAM
Crucial Pro RAM 32GB Kit (2x16GB) DDR4, 88715, CRUCIAL, RAM
Corsair VENGEANCE RGB PRO SL DDR4 32GB (2x16GB), 138952, CORSAIR, RAM
Corsair Vengeance RGB PRO 64GB (2x32GB) DDR4, 194538, CORSAIR, RAM
TEAMGROUP T-Force Vulcan Z DDR4 16GB Kit (2x8GB), 44469, TEAMGROUP, RAM
Corsair VENGEANCE RGB PRO DDR4 16GB (2x8GB), 73360, CORSAIR, RAM
Corsair VENGEANCE LPX DDR4 16GB (2x8GB), 53640, CORSAIR, RAM
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB), 155113, CORSAIR, RAM
RGB DDR4 RAM 16GB (2x8GB), 73638, FANXIANG, RAM
G.SKILL Trident Z RGB Series (Intel XMP) DDR4 RAM 128GB (4x32GB), 382142, G.SKILL, RAM
Silicon Power Value Gaming DDR4 RAM 32GB (2x16GB), 70830, SP SILICON POWER, RAM
CORSAIR VENGEANCE DDR5 RAM 64GB (2x32GB), 208435, CORSAIR, RAM
Crucial RAM 8GB DDR4, 25597, CRUCIAL, RAM
Timetec 16GB DDR4, 40286, TIMETEC, RAM
Silicon Power Value Gaming DDR4 RAM 16GB (2x8GB), 41648, SP SILICON POWER, RAM
G.SKILL Ripjaws V Series (Intel XMP) DDR4 RAM 64GB (2x32GB), 166745, G.SKILL, RAM
CORSAIR VENGEANCE RGB DDR5 RAM 64GB (2x32GB), 323776, CORSAIR, RAM
Corsair VENGEANCE RGB PRO DDR4 32GB (2x16GB), 116745, CORSAIR, RAM
Zalman - S3 - ATX Mid-Tower, 76292, ZALMAN, PC CASE
MUSETEX ATX, 111158, MUSETEX, PC CASE
CORSAIR 4000D, 125055, CORSAIR, PC CASE
