Product Name,Price,Speed
TeamGroup DDR5-5600 CL46 Elite 서린,"124,000",5600MHz (PC5-44800)
삼성전자 DDR5-5600,"133,970",5600MHz (PC5-44800)
마이크론 Crucial DDR5-5600 CL46 PRO 패키지 대원씨티에스,"370,830",5600MHz (PC5-44800)
TeamGroup T-CREATE DDR5-5600 CL46 CLASSIC 패키지 서린,"290,000",5600MHz (PC5-44800)
마이크론 Crucial DDR5-5600 CL46 대원씨티에스,"120,700",5600MHz (PC5-44800)
ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB WHITE 패키지 서린,"350,000",6000MHz (PC5-48000)
ESSENCORE KLEVV DDR5-5600 CL46 파인인포,"117,480",5600MHz (PC5-44800)
G.SKILL DDR5-6000 CL30 RIPJAWS M5 RGB 화이트 패키지,"338,000",6000MHz (PC5-48000)
SK하이닉스 DDR5-5600,"168,060",5600MHz (PC5-44800)
TeamGroup T-Force DDR5-6000 CL38 Delta RGB 화이트 패키지 서린,"340,000",6000MHz (PC5-48000)
G.SKILL DDR5-6000 CL32 TRIDENT Z5 NEO RGB J 패키지,"348,000",6000MHz (PC5-48000)
OLOy DDR5-6000 CL32 BLADE RGB MIRROR 패키지 올로이앤코,"197,980",6000MHz (PC5-48000)
GeIL DDR5-5600 CL46 PRISTINE V,"62,580",5600MHz (PC5-44800)
G.SKILL DDR5-6000 CL30 TRIDENT Z5 NEO RGB J 화이트 패키지,"359,005",6000MHz (PC5-48000)
삼성전자 DDR5-4800,"131,180",4800MHz (PC5-38400)
PATRIOT DDR5-5600 CL46 EVO,"117,990",5600MHz (PC5-44800)
G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지,"194,000",6000MHz (PC5-48000)
G.SKILL DDR5-6000 CL36 TRIDENT Z5 RGB J 패키지,"192,000",6000MHz (PC5-48000)
G.SKILL DDR5-7200 CL34 TRIDENT Z5 ROYAL 실버 패키지,"259,000",7200MHz (PC5-57600)
GeIL DDR5-6000 CL38 POLARIS RGB White 패키지,"178,990",6000MHz (PC5-48000)
ESSENCORE KLEVV DDR5-6000 CL30 CRAS V RGB 패키지 서린,"347,990",6000MHz (PC5-48000)
마이크론 Crucial DDR5-6000 CL36 PRO Overclocking 패키지 대원씨티에스,"141,000",6000MHz (PC5-48000)
TeamGroup DDR5-4800 CL40 Elite 서린,"113,467",4800MHz (PC5-38400)
G.SKILL DDR5-6000 CL30 FLARE X5 J 패키지,"319,002",6000MHz (PC5-48000)
ESSENCORE KLEVV DDR5-8000 CL38 CRAS V RGB 패키지 서린,"439,990",8000MHz (PC5-64000)
TeamGroup T-Force DDR5-7200 CL34 Delta RGB 화이트 패키지,"230,000",7200MHz (PC5-57600)
ESSENCORE KLEVV DDR5-6000 CL30 BOLT V 패키지 서린,"166,000",6000MHz (PC5-48000)
G.SKILL DDR5-5200 CL40 FLARE X5 J 패키지,"353,980",5200MHz (PC5-41600)
ESSENCORE KLEVV DDR5-8200 CL38 CRAS V RGB 패키지 서린,"459,990",8200MHz (PC5-65600)
ESSENCORE KLEVV DDR5-6000 CL32 FIT V 패키지,"153,990",6000MHz (PC5-48000)
