Product Name,Price,Power_Type,가로(길이)
이엠텍 지포스 RTX 4060 STORM X Dual OC D6 8GB,"418,030",600W,249.9mm
ZOTAC GAMING 지포스 RTX 4060 TWIN Edge OC D6 8GB,"414,880",500W,225.3mm
이엠텍 지포스 RTX 4060 Ti STORM X Dual OC D6 8GB,"557,590",650W,249.9mm
MSI 지포스 RTX 4060 Ti 벤투스 2X 블랙 OC D6 16GB,"618,870",550W,199mm
MSI 지포스 RTX 4070 SUPER 게이밍 X 슬림 D6X 12GB 트라이프로져3,"977,910",650W,307mm
MSI 지포스 RTX 4060 벤투스 2X 블랙 OC D6 8GB,"426,990",550W,199mm
MSI 지포스 RTX 4070 Ti SUPER 게이밍 X 슬림 D6X 16GB 트라이프로져3,"1,244,100",700W,307mm
XFX 라데온 RX 6800 SWFT 319 CORE D6 16GB,"500,200",650W,340mm
갤럭시 GALAX 지포스 RTX 4060 WHITE OC D6 8GB,"410,400",550W,237mm
이엠텍 지포스 RTX 4060 MIRACLE WHITE D6 8GB,"426,960",600W,252mm
MSI 지포스 RTX 4080 SUPER 게이밍 X 슬림 D6X 16GB 트라이프로져3,"1,658,860",850W,322mm
MSI 지포스 RTX 4090 슈프림 X D6X 24GB 트라이프로져3S,"2,998,810",1000W,336mm
ASUS DUAL 라데온 RX 7600 O8G V2 OC D6 8GB,"357,980",550W,205mm
GIGABYTE 지포스 RTX 4070 SUPER WINDFORCE OC D6X 12GB 피씨디렉트,"904,890",700W,261mm
MSI 지포스 RTX 3060 벤투스 2X OC D6 12GB,"394,390",550W,235mm
ASUS ProArt 지포스 RTX 4070 Ti SUPER O16G OC D6X 16GB,"1,186,550",750W,300mm
ASUS TUF Gaming 라데온 RX 7800 XT O16G OC D6 16GB,"680,840",750W,319.8mm
ZOTAC GAMING 지포스 RTX 4070 SUPER TWIN Edge OC D6X 12GB,"865,500",650W,234.1mm
INNO3D 지포스 RTX 4070 SUPER OC D6X 12GB X3,"859,070",650W,297mm
ASUS DUAL 지포스 RTX 4060 O8G OC D6 8GB White,"447,000",550W,227.2mm
PNY 지포스 RTX 4060 VERTO D6 8GB Dual 제이씨현,"391,820",500W,210mm
MSI 지포스 RTX 4070 Ti SUPER 벤투스 3X OC D6X 16GB,"1,178,860",700W,308mm
STCOM 지포스 RTX 4070 SUPER D6X 12GB,"840,380",650W,264mm
