Product Name,Price,Socket,Integrated Graphics,메모리 타입,시네벤치R23(싱글),시네벤치R23(멀티)
인텔 코어i5-14세대 14400F (랩터레이크 리프레시),"283,990",1700,False,"DDR5, DDR4",1790,17804
인텔 코어i7-14세대 14700K (랩터레이크 리프레시),"588,390",1700,True,"DDR5, DDR4",2069,34818
인텔 코어i5-12세대 12400F (엘더레이크),"148,000",1700,False,"DDR5, DDR4",1605,12201
인텔 코어i9-14세대 14900K (랩터레이크 리프레시),"813,680",1700,True,"DDR5, DDR4",2277,40146
인텔 코어i5-14세대 14500 (랩터레이크 리프레시),"346,700",1700,True,"DDR5, DDR4",1934,22045
인텔 코어i5-13세대 13600K (랩터레이크),"390,940",1700,True,"DDR5, DDR4",1983,23380
인텔 코어i7-14세대 14700KF (랩터레이크 리프레시),"551,410",1700,False,"DDR5, DDR4",2145,35218
인텔 코어i5-13세대 13400F (랩터레이크),"237,890",1700,False,"DDR5, DDR4",1789,14621
인텔 코어i5-14세대 14600K (랩터레이크 리프레시),"445,800",1700,True,"DDR5, DDR4",2069,25159
인텔 코어i7-14세대 14700F (랩터레이크 리프레시),"522,460",1700,False,"DDR5, DDR4",2091,32090
인텔 코어i7-14세대 14700 (랩터레이크 리프레시),"569,300",1700,True,"DDR5, DDR4",2077,31928
인텔 코어i3-14세대 14100 (랩터레이크 리프레시),"204,990",1700,True,"DDR5, DDR4",1733,9285
인텔 코어i3-12세대 12100F (엘더레이크),"103,300",1700,False,"DDR5, DDR4",1666,8376
인텔 코어i5-14세대 14600KF (랩터레이크 리프레시),"395,290",1700,False,"DDR5, DDR4",2054,24086
인텔 코어i7-13세대 13700KF (랩터레이크),"458,820",1700,False,"DDR5, DDR4",1978,30354
인텔 코어i7-12세대 12700KF (엘더레이크),"360,060",1700,False,"DDR5, DDR4",1960,22788
인텔 코어i7-13세대 13700K (랩터레이크),"504,290",1700,True,"DDR5, DDR4",2093,29522
인텔 코어i5-12세대 12400 (엘더레이크),"201,260",1700,True,"DDR5, DDR4",1698,12396
인텔 코어i5-13세대 13600KF (랩터레이크),"368,990",1700,False,"DDR5, DDR4",1801,23478
인텔 코어i3-12세대 12100 (엘더레이크),"152,990",1700,True,"DDR5, DDR4",1666,8376
인텔 코어i5-13세대 13400 (랩터레이크),"292,000",1700,True,"DDR5, DDR4",1785,15991
인텔 코어i3-10세대 10105F (코멧레이크S 리프레시),"93,090",1200,False,DDR4,1785,15991
인텔 코어i9-13세대 13900KF (랩터레이크),"666,990",1700,False,"DDR5, DDR4",2258,38753
인텔 코어i5-13세대 13500 (랩터레이크),"339,980",1700,True,"DDR5, DDR4",1866,20651
인텔 코어i5-11세대 11400 (로켓레이크S),"183,600",1200,True,DDR4,1866,20651
